gender,age,race_ethnicity,employment,state_name,vote_trump,vote_biden
Female,49,White,Employed,Wisconsin,1,0
Female,39,White,Employed,Virginia,0,0
Female,46,White,Employed,Virginia,1,0
Female,75,White,Unemployed,Texas,1,0
Female,52,White,Not in labor force,Washington,1,0
Female,44,White,Unemployed,Ohio,0,0
Female,21,White,Student,Massachusetts,0,1
Female,38,Black or African American,Unemployed,Texas,0,1
Female,69,White,Not in labor force,California,1,0
Female,59,White,Not in labor force,North Carolina,1,0
Female,51,White,Employed,Ohio,0,0
Female,74,White,Employed,Maryland,1,0
Female,55,White,Employed,Florida,0,1
Female,62,White,Employed,West Virginia,1,0
Female,42,White,Unemployed,Ohio,0,1
Female,81,White,Not in labor force,New York,0,1
Female,22,White,Employed,Kentucky,0,1
Female,73,White,Not in labor force,Florida,1,0
Male,71,White,Not in labor force,Indiana,1,0
Female,63,White,Unemployed,Michigan,0,1
Male,41,White,Employed,Washington,0,1
Female,71,White,Not in labor force,Iowa,1,0
Female,60,White,Not in labor force,California,0,1
Female,55,White,Employed,South Carolina,1,0
Male,68,White,Not in labor force,Minnesota,0,1
Female,69,White,Employed,Georgia,1,0
Female,33,White,Employed,Pennsylvania,1,0
Female,70,White,Not in labor force,New Jersey,0,1
Female,32,White,Employed,Virginia,1,0
Female,77,White,Not in labor force,South Carolina,1,0
Female,65,White,Not in labor force,Texas,1,0
Female,22,Black or African American,Employed,Florida,0,1
Female,47,White,Not in labor force,New York,0,0
Female,63,White,Not in labor force,Arizona,0,1
Male,79,White,Employed,Illinois,0,1
Male,70,White,Not in labor force,Ohio,1,0
Female,54,White,Employed,Ohio,0,1
Male,72,White,Not in labor force,California,0,1
Female,40,White,Unemployed,Florida,1,0
Female,69,Black or African American,Not in labor force,North Carolina,0,1
Male,37,White,Employed,Texas,0,1
Female,36,White,Employed,Florida,0,1
Female,54,White,Unemployed,New York,0,0
Female,40,White,Employed,Texas,0,1
Female,41,White,Employed,New Jersey,0,1
Female,57,White,Not in labor force,Arkansas,0,0
Female,64,White,Not in labor force,Oklahoma,0,0
Female,39,White,Not in labor force,Nevada,0,0
Female,19,White,Student,Florida,0,1
Female,50,White,Employed,Florida,0,0
Female,26,Other Asian or Pacific Islander,Employed,Texas,0,0
Female,30,White,Not in labor force,California,0,1
Female,51,White,Employed,New York,0,0
Female,72,White,Not in labor force,Oregon,1,0
Female,55,White,Not in labor force,Pennsylvania,1,0
Female,80,Black or African American,Employed,Pennsylvania,0,1
Female,66,White,Not in labor force,North Carolina,0,1
Female,40,White,Employed,Texas,1,0
Female,23,White,Employed,California,0,0
Male,31,Other Asian or Pacific Islander,Employed,Virginia,1,0
Male,69,White,Not in labor force,Ohio,1,0
Female,31,East Asian,Employed,California,0,1
Female,51,White,Employed,Illinois,0,1
Female,78,White,Not in labor force,North Carolina,1,0
Female,58,White,Employed,Michigan,0,1
Female,70,White,Not in labor force,Pennsylvania,0,0
Female,19,White,Employed,California,0,1
Female,41,White,Employed,Michigan,0,1
Male,39,White,Employed,Connecticut,0,1
Female,63,White,Not in labor force,North Carolina,1,0
Female,69,White,Not in labor force,Delaware,1,0
Female,68,White,Not in labor force,Wisconsin,0,0
Male,41,White,Employed,Florida,0,0
Female,73,White,Not in labor force,Connecticut,1,0
Female,38,White,Employed,North Carolina,1,0
